"GO","GO_desc","sam_freq","back_freq","n_GO_DEG","n_DEG","n_GO","n_all_genes","pVal","adj_pVal","gene_name"
"GO:0055114","oxidation-reduction process",0.12613,0.02961,140,1110,409,13813,1.2631901120117e-53,2.52638022402341e-50,"LOC105247758, LOC105247860, LOC105248129, LOC105248130, LOC105248294, LOC105248502, LOC105248503, LOC105248598, LOC105248607, LOC105248711, LOC105248721, LOC105248829, LOC105249051, LOC105249159, LOC105249221, LOC105249321, LOC105249337, LOC105249360, LOC105249686, LOC105249823, LOC105249825, LOC105249916, LOC105249990, LOC105250054, LOC105250182, LOC105250292, LOC105250298, LOC105250328, LOC105250389, LOC105250452, LOC105250541, LOC105250598, LOC105250599, LOC105250638, LOC105250645, LOC105250706, LOC105250811, LOC105250999, LOC105251036, LOC105251039, LOC105251169, LOC105251203, LOC105251366, LOC105251381, LOC105251514, LOC105251515, LOC105251524, LOC105251530, LOC105251959, LOC105251968, LOC105252037, LOC105252156, LOC105252329, LOC105252397, LOC105252500, LOC105252531, LOC105252579, LOC105252864, LOC105252893, LOC105253094, LOC105253796, LOC105254010, LOC105254263, LOC105254319, LOC105254327, LOC105254549, LOC105254550, LOC105254632, LOC105255075, LOC105255139, LOC105255200, LOC105255244, LOC105255355, LOC105255537, LOC105255539, LOC105255544, LOC105255853, LOC105256056, LOC105256067, LOC105256146, LOC105256433, LOC105256457, LOC105256463, LOC105256593, LOC105256672, LOC105256688, LOC105256787, LOC105256801, LOC105256816, LOC105256905, LOC105256913, LOC105256918, LOC105256919, LOC105256920, LOC105256921, LOC105257115, LOC105257361, LOC105257467, LOC105257514, LOC105257793, LOC105257798, LOC105257799, LOC105258076, LOC105258098, LOC105258112, LOC105258207, LOC105258364, LOC105258390, LOC105258448, LOC105258494, LOC105258552, LOC105258553, LOC105258661, LOC105258679, LOC105258709, LOC105258874, LOC105259052, LOC105259172, LOC105259175, LOC105259280, LOC105259382, LOC109609937, LOC109610084, LOC109610325, LOC109610526, LOC112637294, LOC112637310, LOC112637383, LOC112637460, LOC112637752, LOC112637753, LOC112638144, LOC112638628, LOC112638636, LOC112638652, LOC112638685, LOC112638686, LOC112638688, LOC112638689, LOC112639107"
"GO:0005506","iron ion binding",0.05676,0.01325,63,1110,183,13813,1.3004397536021e-24,1.3004397536021e-21,"LOC105247860, LOC105248129, LOC105248130, LOC105248502, LOC105248721, LOC105248829, LOC105249221, LOC105249990, LOC105250292, LOC105250298, LOC105250328, LOC105250389, LOC105250452, LOC105250541, LOC105250706, LOC105251036, LOC105251039, LOC105251169, LOC105251366, LOC105251514, LOC105251515, LOC105251524, LOC105253020, LOC105253094, LOC105254263, LOC105254327, LOC105255075, LOC105255200, LOC105255537, LOC105255539, LOC105256056, LOC105256433, LOC105256688, LOC105256905, LOC105257361, LOC105257793, LOC105257798, LOC105257799, LOC105258364, LOC105258390, LOC105258552, LOC105258553, LOC105258661, LOC105258679, LOC105259172, LOC105259175, LOC109610084, LOC109610325, LOC109610526, LOC112637294, LOC112637310, LOC112637460, LOC112637752, LOC112637753, LOC112638144, LOC112638628, LOC112638636, LOC112638652, LOC112638685, LOC112638686, LOC112638688, LOC112638689, LOC112639107"
"GO:0020037","heme binding",0.05676,0.01339,63,1110,185,13813,2.55569261274564e-24,1.70379507516376e-21,"LOC105247860, LOC105248129, LOC105248130, LOC105248502, LOC105248829, LOC105249039, LOC105249221, LOC105249990, LOC105250292, LOC105250298, LOC105250328, LOC105250389, LOC105250452, LOC105250541, LOC105250706, LOC105251036, LOC105251039, LOC105251169, LOC105251366, LOC105251514, LOC105251515, LOC105251524, LOC105252081, LOC105253094, LOC105254263, LOC105254327, LOC105255200, LOC105255537, LOC105255539, LOC105256056, LOC105256433, LOC105256688, LOC105256905, LOC105257361, LOC105257793, LOC105257798, LOC105257799, LOC105257816, LOC105258364, LOC105258390, LOC105258552, LOC105258553, LOC105258661, LOC105258679, LOC105259172, LOC105259175, LOC109610084, LOC109610325, LOC109610526, LOC112637294, LOC112637310, LOC112637460, LOC112637752, LOC112637753, LOC112638144, LOC112638628, LOC112638636, LOC112638652, LOC112638685, LOC112638686, LOC112638688, LOC112638689, LOC112639107"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.05405,0.01245,60,1110,172,13813,7.70790752414194e-24,3.85395376207097e-21,"LOC105247860, LOC105248129, LOC105248130, LOC105248502, LOC105248829, LOC105249221, LOC105249990, LOC105250292, LOC105250298, LOC105250328, LOC105250389, LOC105250452, LOC105250541, LOC105250706, LOC105251036, LOC105251039, LOC105251169, LOC105251366, LOC105251514, LOC105251515, LOC105251524, LOC105253094, LOC105254263, LOC105254327, LOC105255200, LOC105255537, LOC105255539, LOC105256056, LOC105256433, LOC105256688, LOC105256905, LOC105257361, LOC105257793, LOC105257798, LOC105257799, LOC105258364, LOC105258390, LOC105258552, LOC105258553, LOC105258661, LOC105258679, LOC105259172, LOC105259175, LOC109610084, LOC109610325, LOC109610526, LOC112637294, LOC112637310, LOC112637460, LOC112637752, LOC112637753, LOC112638144, LOC112638628, LOC112638636, LOC112638652, LOC112638685, LOC112638686, LOC112638688, LOC112638689, LOC112639107"
"no_annot",NA,0.31261,0.45131,347,1110,6234,13813,2.8294960323486e-23,1.13179841293944e-20,NA
"GO:0004984","olfactory receptor activity",0.0018,0.02816,2,1110,389,13813,2.6493244985676e-12,7.56949856733599e-10,"LOC105252225, LOC112639943"
"GO:0007608","sensory perception of smell",0.0018,0.02816,2,1110,389,13813,2.6493244985676e-12,7.56949856733599e-10,"LOC105252225, LOC112639943"
"GO:0005975","carbohydrate metabolic process",0.02613,0.00681,29,1110,94,13813,9.14090944987054e-11,2.28522736246763e-08,"LOC105249902, LOC105250276, LOC105250371, LOC105250372, LOC105250756, LOC105251304, LOC105251864, LOC105252688, LOC105252922, LOC105254366, LOC105254550, LOC105255479, LOC105255480, LOC105255681, LOC105256472, LOC105257509, LOC105258092, LOC105258370, LOC105258615, LOC105258752, LOC105258784, LOC105259121, LOC105259417, LOC105259456, LOC105259486, LOC109609718, LOC112638407, LOC112638426, LOC112639508"
"GO:0016491","oxidoreductase activity",0.02162,0.00514,24,1110,71,13813,4.65257326468176e-10,1.03390516992928e-07,"LOC105248221, LOC105249051, LOC105249321, LOC105249825, LOC105250182, LOC105250598, LOC105250811, LOC105251381, LOC105251530, LOC105251959, LOC105251968, LOC105252397, LOC105252531, LOC105254010, LOC105254319, LOC105255355, LOC105255853, LOC105257115, LOC105257165, LOC105258448, LOC105258709, LOC105258874, LOC105259052, LOC109609937"
"GO:0015986","ATP synthesis coupled proton transport",0.00811,8e-04,9,1110,11,13813,6.31666944682251e-09,1.2633338893645e-06,"LOC105249677, LOC105249891, LOC105250320, LOC105250780, LOC105251202, LOC105252187, LOC105254923, LOC105255783, LOC105257418"
