"pfam","pfam_desc","sam_freq","back_freq","n_pfam_DEG","n_DEG","n_pfam","n_all_genes","pVal","adj_pVal","gene_name"
"no_annot",NA,0.10631,0.24767,118,1110,3421,13813,3.37905879090316e-35,1.55267751442e-31,NA
"PF07645","Calcium-binding EGF domain",0.04955,0.00818,55,1110,113,13813,1.23767188800652e-30,2.84355116269497e-27,"LOC105250842, LOC105251236, LOC105256896, LOC105258224"
"PF02363","Cysteine rich repeat",0.02252,0.00181,25,1110,25,13813,3.28898527876423e-28,5.03762911864055e-25,"LOC105258751"
"PF00067","Cytochrome P450",0.05586,0.01289,62,1110,178,13813,1.48940999698873e-24,1.7109597340408e-21,"LOC105247860, LOC105248129, LOC105248130, LOC105248502, LOC105248829, LOC105249221, LOC105249990, LOC105250292, LOC105250298, LOC105250328, LOC105250389, LOC105250452, LOC105250541, LOC105250706, LOC105251036, LOC105251039, LOC105251169, LOC105251366, LOC105251514, LOC105251515, LOC105251524, LOC105253094, LOC105254263, LOC105254327, LOC105255200, LOC105255537, LOC105255539, LOC105256056, LOC105256433, LOC105256688, LOC105256905, LOC105257361, LOC105257793, LOC105257798, LOC105257799, LOC105258364, LOC105258390, LOC105258552, LOC105258553, LOC105258661, LOC105258679, LOC105259172, LOC105259175, LOC109610084, LOC109610325, LOC109610526, LOC112637294, LOC112637310, LOC112637460, LOC112637752, LOC112637753, LOC112638144, LOC112638628, LOC112638636, LOC112638652, LOC112638685, LOC112638686, LOC112638688, LOC112638689, LOC112639107"
"PF01391","Collagen triple helix repeat (20 copies)",0.03243,0.00557,36,1110,77,13813,9.36485023333957e-20,8.60629736443907e-17,"LOC105254668, LOC105254669"
"PF00630","Filamin/ABP280 repeat",0.01892,0.00275,21,1110,38,13813,6.04157654965974e-14,4.62684070761441e-11,"LOC105249451"
"PF02949","7tm Odorant receptor",0.0018,0.03113,2,1110,430,13813,9.4185732166322e-14,6.18262056148928e-11,"LOC105252225, LOC112639943"
"PF00090","Thrombospondin type 1 domain",0.02252,0.0042,25,1110,58,13813,3.82688219016614e-13,2.19806545797668e-10,"LOC105248345, LOC105256162, LOC105257083, LOC105257478, LOC105257706"
"PF00014","Kunitz/Bovine pancreatic trypsin inhibitor domain",0.01081,0.00094,12,1110,13,13813,8.21337822983359e-13,4.1933858851206e-10,"LOC105248345, LOC105257478, LOC105257706"
"PF00683","TB domain",0.00811,0.00065,9,1110,9,13813,1.35620547517964e-10,6.23176415845047e-08,"LOC105258224"
"PF00053","Laminin EGF domain",0.02342,0.00586,26,1110,81,13813,3.21299001294348e-10,1.34215355540684e-07,"LOC105256736, LOC105257775"
"PF00096","Zinc finger, C2H2 type",0.01261,0.04003,14,1110,553,13813,1.76272114425407e-08,6.7497530482062e-06,"LOC105251576, LOC105252086, LOC105252687, LOC105252951, LOC105256029"
"PF00106","short chain dehydrogenase",0.01622,0.00391,18,1110,54,13813,8.52396735925883e-08,3.01289461659956e-05,"LOC105248091, LOC105248305, LOC105249150, LOC105249644, LOC105251419, LOC105251487, LOC105251488, LOC105251489, LOC105253234, LOC105254234, LOC105254688, LOC105255509, LOC105256276, LOC105258835, LOC105258944, LOC105259010, LOC112639353"
